================================================================================================
H406b  WEEKEND EXTREME-SCALE random-noise hardening of ALL train samples (Fashion-MNIST)
================================================================================================
condition: n = ALL 6000 train samples,  K = 4,000,000 noisy copies/sample
           effective presentations target = 24,000,000,000 (~24.000e9)
           total_steps (at batch 4096) = 5,859,375
noise:     (x + 0.1*(2*rand-1)).clamp(0,1), labeled true class  |  EPS=0.1 PGD_STEPS=10
config:    SmallCNN width=32, SGD(lr=0.05,mom=0.9,wd=5e-4), SEED=0, device=cuda
           gpu = NVIDIA GeForce RTX 4090
           BATCH_START=4096 BATCH_MIN=128  CKPT_EVERY_SEC=300.0

BASELINE reference (n=0, no augmentation):
   clean_acc=0.8785  FGSM_ASR=0.9294  PGD_ASR=1.0000  vuln_PGD=1.0000
   vulnerable test subset = lowest 25% margin (500 samples)

PROGRESS SNAPSHOTS (each = a periodic eval during the long run):
   global_step      pct   batch  clean_acc   FGSM_ASR    PGD_ASR   vuln_PGD   elapsed_s
---------------------------------------------------------------------------------------
         4,399    0.08%    4096     0.8680     0.8479     0.9977     1.0000       354.8
         8,773    0.15%    4096     0.8715     0.8308     0.9954     1.0000       654.8
        13,156    0.22%    4096     0.8535     0.8266     0.9941     1.0000       954.8
        17,568    0.30%    4096     0.8675     0.8323     0.9948     1.0000      1254.8
        21,982    0.38%    4096     0.8645     0.8606     0.9994     1.0000      1554.8
        26,396    0.45%    4096     0.8470     0.8571     0.9575     1.0000      1854.9
        30,811    0.53%    4096     0.8370     0.8895     0.9940     1.0000      2155.0
        35,225    0.60%    4096     0.8420     0.7013     0.9501     1.0000      2455.0
        39,602    0.68%    4096     0.8495     0.6722     0.9464     1.0000      2755.0
        43,980    0.75%    4096     0.8295     0.6745     0.9783     1.0000      3055.1
        48,355    0.83%    4096     0.7850     0.5777     0.9274     1.0000      3355.1
        52,741    0.90%    4096     0.8375     0.6716     0.9594     1.0000      3655.1
        57,155    0.98%    4096     0.8225     0.6809     0.9264     0.9922      3955.1
        58,593    1.00%    4096     0.7190     0.6363     0.8185     0.8249      4053.0
        63,008    1.08%    4096     0.8090     0.6619     0.9388     1.0000      4353.0
        67,422    1.15%    4096     0.8210     0.6724     0.9269     1.0000      4653.0
        71,837    1.23%    4096     0.8180     0.6100     0.9450     1.0000      4953.1
        76,253    1.30%    4096     0.8165     0.7055     0.9608     1.0000      5253.1
        80,668    1.38%    4096     0.8145     0.6882     0.9184     1.0000      5553.2
        85,082    1.45%    4096     0.8190     0.6917     0.9432     1.0000      5853.2
        89,497    1.53%    4096     0.8320     0.6917     0.9285     1.0000      6153.2
        93,912    1.60%    4096     0.8340     0.6906     0.9167     1.0000      6453.3
        98,326    1.68%    4096     0.7930     0.6375     0.9615     0.9954      6753.3
       102,741    1.75%    4096     0.8085     0.6623     0.9685     1.0000      7053.3
       107,155    1.83%    4096     0.8145     0.6575     0.9527     1.0000      7353.3
       111,570    1.90%    4096     0.7965     0.6491     0.9391     0.9953      7653.3
       115,985    1.98%    4096     0.8105     0.8427     0.9500     0.9919      7953.4
       117,186    2.00%    4096     0.8200     0.7945     0.9457     0.9918      8035.1
       121,600    2.08%    4096     0.8280     0.7923     0.9879     0.9960      8335.1
       126,015    2.15%    4096     0.8235     0.7699     0.9830     1.0000      8635.1
       130,420    2.23%    4096     0.8225     0.7459     0.9848     1.0000      8935.2
       134,832    2.30%    4096     0.8235     0.7942     0.9842     1.0000      9235.2
       139,247    2.38%    4096     0.8160     0.7788     0.9871     1.0000      9535.3
       143,661    2.45%    4096     0.8200     0.7768     0.9817     1.0000      9835.3
       148,075    2.53%    4096     0.8180     0.7812     0.9872     1.0000     10135.3
       152,490    2.60%    4096     0.8230     0.7576     0.9824     1.0000     10435.3
       156,905    2.68%    4096     0.8255     0.7638     0.9770     1.0000     10735.4
       161,319    2.75%    4096     0.8195     0.7389     0.9616     1.0000     11035.4
       165,734    2.83%    4096     0.8205     0.7660     0.9634     1.0000     11335.4
       170,149    2.90%    4096     0.8055     0.7995     0.9764     1.0000     11635.5
       174,563    2.98%    4096     0.8190     0.7839     0.9689     1.0000     11935.5
       175,779    3.00%    4096     0.7965     0.7483     0.9648     0.9954     12018.4
       180,194    3.08%    4096     0.8075     0.7622     0.9690     1.0000     12318.4
       184,609    3.15%    4096     0.8245     0.7677     0.9618     1.0000     12618.5
       189,024    3.23%    4096     0.8250     0.7582     0.9648     1.0000     12918.5
       193,438    3.30%    4096     0.8265     0.7731     0.9619     1.0000     13218.5
       197,853    3.38%    4096     0.8215     0.7778     0.9647     1.0000     13518.6
       202,267    3.45%    4096     0.8090     0.7676     0.9592     1.0000     13818.6
       206,681    3.53%    4096     0.8300     0.7723     0.9855     1.0000     14118.6
       211,096    3.60%    4096     0.8370     0.7694     0.9839     1.0000     14418.7
       215,510    3.68%    4096     0.8345     0.7771     0.9916     1.0000     14718.7
       219,925    3.75%    4096     0.8300     0.7627     0.9849     1.0000     15018.7
       224,340    3.83%    4096     0.8225     0.7672     0.9696     1.0000     15318.7
       228,754    3.90%    4096     0.8315     0.7547     0.9808     1.0000     15618.7
       233,168    3.98%    4096     0.8270     0.7618     0.9722     1.0000     15918.7
       234,372    4.00%    4096     0.8210     0.7753     0.9708     1.0000     16000.7
       238,786    4.08%    4096     0.8250     0.7909     0.9661     1.0000     16300.7
       243,200    4.15%    4096     0.8240     0.7725     0.9697     1.0000     16600.8
       247,615    4.23%    4096     0.8270     0.7793     0.9698     1.0000     16900.8
       252,029    4.30%    4096     0.8375     0.7534     0.9725     1.0000     17200.8
       256,443    4.38%    4096     0.8315     0.7733     0.9687     1.0000     17500.8
       260,857    4.45%    4096     0.8265     0.7695     0.9734     1.0000     17800.8
       265,272    4.53%    4096     0.8250     0.7515     0.9661     1.0000     18100.9
       269,686    4.60%    4096     0.8195     0.7541     0.9628     1.0000     18400.9
       274,101    4.68%    4096     0.8275     0.7353     0.9631     1.0000     18701.0
       278,516    4.75%    4096     0.8350     0.7317     0.9623     1.0000     19001.0
       282,930    4.83%    4096     0.8300     0.7699     0.9633     1.0000     19301.0
       287,344    4.90%    4096     0.8245     0.7520     0.9418     1.0000     19601.0
       291,758    4.98%    4096     0.8340     0.7422     0.9281     1.0000     19901.0
       292,965    5.00%    4096     0.8225     0.7362     0.9301     1.0000     19983.3
       297,379    5.08%    4096     0.8340     0.7458     0.9430     1.0000     20283.3
       301,793    5.15%    4096     0.8275     0.7474     0.9360     1.0000     20583.3
       306,208    5.23%    4096     0.8265     0.7399     0.9474     1.0000     20883.4
       310,622    5.30%    4096     0.8295     0.7613     0.9470     1.0000     21183.4
       315,036    5.38%    4096     0.8310     0.7485     0.9537     1.0000     21483.4
       319,450    5.45%    4096     0.8190     0.7527     0.9512     1.0000     21783.4
       323,864    5.53%    4096     0.8315     0.7517     0.9627     1.0000     22083.4
       328,279    5.60%    4096     0.8240     0.7549     0.9527     1.0000     22383.5
       332,694    5.68%    4096     0.8205     0.7678     0.9555     1.0000     22683.5
       337,108    5.75%    4096     0.8185     0.7520     0.9524     1.0000     22983.6
       341,523    5.83%    4096     0.8185     0.7599     0.9548     1.0000     23283.6
       345,937    5.90%    4096     0.8270     0.7563     0.9559     1.0000     23583.6
       350,351    5.98%    4096     0.8200     0.7598     0.9579     1.0000     23883.6
       351,558    6.00%    4096     0.8320     0.7716     0.9561     1.0000     23965.9
       355,973    6.08%    4096     0.8235     0.7614     0.9745     1.0000     24265.9
       360,387    6.15%    4096     0.8165     0.7281     0.9688     1.0000     24565.9
       364,802    6.23%    4096     0.8155     0.7517     0.9834     1.0000     24865.9
       369,216    6.30%    4096     0.8205     0.7599     0.9519     1.0000     25165.9
       373,630    6.38%    4096     0.8165     0.7759     0.9626     1.0000     25465.9
       378,044    6.45%    4096     0.8165     0.7759     0.9847     1.0000     25766.0
       382,459    6.53%    4096     0.8090     0.7651     0.9833     1.0000     26066.0
       386,873    6.60%    4096     0.8180     0.7524     0.9682     1.0000     26366.0
       391,288    6.68%    4096     0.8160     0.7512     0.9810     1.0000     26666.1
       395,703    6.75%    4096     0.8175     0.7749     0.9835     1.0000     26966.1
       400,118    6.83%    4096     0.8175     0.7627     0.9761     1.0000     27266.1
       404,533    6.90%    4096     0.8220     0.7536     0.9714     1.0000     27566.1
       408,946    6.98%    4096     0.8160     0.7647     0.9700     1.0000     27866.2
       410,151    7.00%    4096     0.8175     0.7780     0.9700     1.0000     27948.3
       414,566    7.08%    4096     0.8220     0.7494     0.9623     1.0000     28248.3
